"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00006205,,"Magill Primary School Council Inc","Magill Primary School Council Inc","Adelaide Street",MAGILL,SA,5072,01/01/2012,
PR-00006208,,"Manresa Society Inc","Manresa Society Inc","62 Queen Street",NORWOOD,SA,5067,01/01/2012,
PR-00006209,,"Mark Oliphant College (B-12) School Council Inc","Mark Oliphant College (B-12) School Council Inc","PO Box 196","SMITHFIELD PLAINS",SA,5114,01/01/2012,
PR-00006210,,"Marryatville Primary School Council Inc","Marryatville Primary School Council Inc","2 Dankel Avenue",KENSINGTON,SA,5068,01/01/2012,
PR-00006211,,"Mawson Lakes School Governing Council Inc","Mawson Lakes School Governing Council Inc","PO Box 6",POORAKA,SA,5095,01/01/2012,
PR-00006212,,"McKay Children's Centre Inc","McKay Children's Centre Inc","7 Scott Street",PENOLA,SA,5277,01/01/2012,
PR-00006213,,"Meadows Primary School Council Inc","Meadows Primary School Council Inc","Mawson Road",MEADOWS,SA,5201,01/01/2012,
PR-00006215,,"Midway Road Community House Inc","Midway Road Community House Inc","48 Midway Rd","ELIZABETH EAST",SA,5112,01/01/2012,
PR-00006218,,"Mitcham Primary School Council Inc","Mitcham Primary School Council Inc","Mitcham Primary School, 22A Hillview Rd",KINGSWOOD,SA,5062,01/01/2012,
PR-00006220,,"Modbury Community Children's Centre Inc","Modbury Community Children's Centre Inc","118a Smart Road",MODBURY,SA,5092,01/01/2012,
PR-00006221,,"Modbury CPC-7 School Council Inc CPC-7 After Hours School Care & Vac Care","Modbury CPC-7 School Council Inc Cpc 7 After Hours School Care & Vac Care","2-24 Golden Grove Road",MODBURY,SA,5092,01/01/2012,
PR-00006222,,"Modbury South Primary School Council Inc","Modbury South Primary School Council Inc","PO Box 42","HOPE VALLEY",SA,5090,01/01/2012,
PR-00006223,,"Modbury Special School Council Inc.","Modbury Special School Council Inc.","PO BOX 52","HOPE VALLEY",SA,5090,01/01/2012,
PR-00006224,,"Modbury West School Council Inc","Modbury West School Council Inc","450-474 Wright Rd",MODBURY,SA,5092,01/01/2012,
PR-00006226,,"Moonta Area School Governing Council","Moonta Area School Governing Council","PO Box 113",MOONTA,SA,5558,01/01/2012,
PR-00006227,,"Morphett Vale East Primary School Council Inc","Morphett Vale East Primary School Council Inc","1 Monarch Street","MORPHETT VALE",SA,5162,01/01/2012,
PR-00006228,,"Mount Barker Community Child Care Centre Inc","Mount Barker Community Child Care Centre Inc","Bartram Street","MOUNT BARKER",SA,5251,05/12/2012,
PR-00006229,,"Mount Barker Primary School Council Inc","Mount Barker Primary School Council Inc","2A Dumas St","MOUNT BARKER",SA,5251,01/01/2012,
PR-00006230,,"Mount Barker South Primary School Council Inc","Mount Barker South Primary School Council Inc","Princes Road","MOUNT BARKER",SA,5251,01/01/2012,
PR-00006231,,"Mount Compass Area School Council Inc","Mount Compass Area School Council Inc","PO BOX 54","MOUNT COMPASS",SA,5210,01/01/2012,
PR-00006232,,"Mount Gambier Child Care Centre Inc","Mount Gambier Child Care Centre Inc","3 DERRINGTON ST","MOUNT GAMBIER",SA,5290,01/01/2012,
