"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40007390,,"ZAKSAW 2 PTY LTD","rise and shine kindergarten","475 Rocky Point Rd","SANS SOUCI",NSW,2219,12/04/2016,
PR-40007398,,"LITTLE BUDDIES EARLY LEARNING PTY LTD","LITTLE BUDDIES EARLY LEARNING PTY LTD","PO Box 91","Hill Top",NSW,2575,12/05/2016,
PR-40007425,,"Little Patch ELC St Kilda East Pty Ltd ATF Little Patch ELC St Kilda East Trust","Little Patch ELC","PO Box 2108","WATTLETREE ROAD PO",VIC,3145,27/04/2016,
PR-40007455,,"M & P Capital Pty Ltd","Cheeky Munchkins Early Learning Centre","145 Duntroon St","HURLSTONE PARK",NSW,2193,23/05/2016,
PR-40007461,,"Lynette Hill","LM Hill","PO Box 206",WYNDHAM,WA,6740,03/05/2016,
PR-40007485,,"Rachel's Place Pty Ltd","Rachel's Place","12 Redfern St",WOOLLOONGABBA,QLD,4102,27/06/2016,
PR-40007499,,"The Alphabet Academy Sydney Pty Ltd","The Alphabet Academy Sydney","43 Regentville Rd","GLENMORE PARK",NSW,2745,18/05/2016,
PR-40007508,,"Meli Theofanou","Wollongong Cottage Kindergarten","26 Colleen Gr",WOLLONGONG,NSW,2500,20/04/2016,
PR-40007510,,"EVANS PARK EARLY LEARNING CENTRE & KINDERGARTEN PTY LTD ATF Evans Park Trust","Evans Park Early Learning Centre and Kindergarten","21-22 Lansell Cl","NARRE WARREN SOUTH",VIC,3805,04/07/2016,
PR-40007524,,"Yiqun Wang",,"U 203  544-550 Mowbray Rd W","LANE COVE NORTH",NSW,2066,28/04/2016,
PR-40007549,,"Incursions Pty Ltd","Supreme Incursions","PO Box 56",FLEMINGTON,VIC,3031,29/08/2016,
PR-40007573,,"KRISTIE SALE","Little Groms Early Learning","219 Fischer St",TORQUAY,VIC,3228,15/06/2016,
PR-40007591,,"PMK Early Education Pty Ltd",,"PO Box 201",RIVERWOOD,NSW,2210,10/05/2016,
PR-40007597,,"I-KID EARLY LEARNING CENTRE PTY. LTD.","I-KID EARLY LEARNING CENTRE","44 Frampton Ave",MARRICKVILLE,NSW,2204,05/05/2016,
PR-00010076,,"HEIDELBERG CHILDCARE PTY LTD","Heidelberg Montessori Academy","PO BOX 176","SUMMER HILL",NSW,2130,19/12/2024,
PR-00010077,,"BUTLER EARLY LEARNING PTY LTD","BUTLER EARLY LEARNING PTY LTD","Unit 45, 57 Joondalup Drive",EDGEWATER,WA,6027,05/11/2024,
PR-00010078,,"NANDA & BATTH PTY LTD",,"35 WOODCREST WAY",WOLLERT,VIC,3750,04/04/2025,
PR-00010080,,"Jambra Early Learning Pty Ltd",,"PO BOX 182",BOTANY,NSW,1455,27/11/2024,
PR-00010083,,"Jeremy  Nada",,"UNIT 2 237-239 RIVERSIDE BVD",DOUGLAS,QLD,4814,11/12/2024,
PR-00010085,,"CATHOLIC ARCHDIOCESE OF CANBERRA  AND GOULBURN EDUCATION LIMITED","CATHOLIC EDUCATION ARCHDIOCESE OF CANBERRA  AND GOULBURN","PO BOX 3317",MANUKA,ACT,2603,24/10/2024,
PR-00010086,,"HOPEPOINT ELC LIMITED","Hopepoint ELC Limited","CALVARY CHAPEL PRE SCHOOL, 42A BEALE ST","GEORGES HALL",NSW,2198,02/04/2025,
PR-00010087,,"GIFTED STARS PTY LTD",,"23 MCLAUGHLIN CCT",BRADBURY,NSW,2560,07/03/2025,
