"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-40006389,,"SMARTKIDS LEARNING PTY. LTD.",,"29 Monash St",WENTWORTHVILLE,NSW,2145,17/02/2016,
PR-40006391,,"Whiz Kidz Early Learning Centre Pty Ltd","Whiz Kidz Early Learning Centre","49 Jasper Rd","BAULKHAM HILLS",NSW,2153,07/01/2016,
PR-40006404,,"MSR COPT AUSTRALIA PTY LTD",,"9 Barcelona Dr",PRESTONS,NSW,2170,07/01/2016,
PR-40006415,,"ALL SAINTS EDUCATION PTY. LTD.","Little Saints Early Learning Academy","24 Meurants Lane",RAMSGATE,NSW,2217,12/01/2016,
PR-40006427,,"Hadia Naebkhil and Karim Ferskoey","Hills Happy Children Daycare","3 Montpellier Rise","BELLA VISTA",NSW,2153,19/01/2016,
PR-40006432,,"CHURCH OF CHRIST WOLLONGONG","NewDay Church","Wollongong Church of Christ, 25 O'Briens Rd",FIGTREE,NSW,2525,13/01/2016,
PR-40006447,,"Bright Buttons Little Meadows Pty Ltd as Trustee for The Finlayson Burpengary Family Trust and Bright Buttons Little Meadows Pty Ltd as Trustee f",,"PO Box 664","BANORA POINT",NSW,2486,03/02/2016,
PR-40006452,,"St Columba Anglican School Council Incorporated","Columba Cottage Early Learning Centre","1 IONA AV","PORT MACQUARIE",NSW,2444,21/01/2016,
PR-40020610,,"Just For Kids Preschool Early Learning Pty Ltd",,"77 The Corso",GOROKAN,NSW,2263,27/09/2019,
PR-40020687,,"Jan's Preschool PTY LTD","Jan's Preschool","22 Cedar Rd",PRESTONS,NSW,2170,28/11/2019,
PR-40020697,,"THE LITTLE UNICORN CHARLESTOWN PTY LTD","The Little Unicorn Charlestown","MM2C 30 Pearson St",CHARLESTOWN,NSW,2290,06/12/2019,
PR-40020698,,"GRAM MANAGEMENT PTY LIMITED","GRAM MANAGEMENT PTY LIMITED","23 Neich Pde",BURWOOD,NSW,2134,01/12/2020,
PR-40020708,,"NNECC PTY LTD","The Nurture Nest Early Childhood Centre","97 Military Rd","DOVER HEIGHTS",NSW,2030,13/11/2019,
PR-40020710,,"JAYVEN MF PTY LTD","HONEY ANTS FAMILY DAYCARE SCHEME","18 Union St",TOONGABBIE,NSW,2146,07/01/2020,
PR-40020712,,"ERLIBYRDS PTY LTD",Erlibyrds,"1 Seymour St","TWEED HEADS SOUTH",NSW,2486,10/10/2019,
PR-40020731,,"Qian Ma",,"24 Blundell Cct",KELLYVILLE,NSW,2155,26/11/2019,
PR-40020734,,"DAASH Associates Pty Ltd","DAASH Associates Pty Ltd","332A, Old Northern Road","CASTLE HILL",NSW,2154,05/03/2020,
PR-40020741,,"CPH OPERATIONS PTY LTD","Little Zak's Academy","PO BOX 1026",MEADOWBANK,NSW,2114,09/10/2019,
PR-40020744,,"GREEN HILLS MONTESSORI ACADEMY PTY LTD","Green Hills Montessori Academy Pty Ltd","60-70 Parramatta Rd","SUMMER HILL",NSW,2130,08/10/2019,
PR-40020753,,"EARLY LEARNING CHILDREN'S GROUP PTY LTD",,"U 14  10-12 Hampden St","BEVERLY HILLS",NSW,2209,18/12/2019,
PR-40020775,,"MANILDRA PRESCHOOL EARLY LEARNING CENTRE INC","MANILDRA PRESCHOOL EARLY LEARNING CENTRE","63-65 Cudal St",MANILDRA,NSW,2865,14/11/2019,
PR-40020797,,"BELMORE MONTESSORI ACADEMY PTY LTD","Belmore Montessori Academy","60-70 Parramatta Rd","SUMMER HILL",NSW,2130,12/12/2019,
PR-40020798,,"MAG NSW OPERATIONS PTY LTD","MAG NSW OPERATIONS PTY LTD","60-70 Parramatta Rd","SUMMER HILL",NSW,2130,12/12/2019,
PR-40020803,,"SHEPHERDS BAY MONTESSORI ACADEMY PTY LTD","Shepherds Bay Montessori Academy","60-70 Parramatta Rd","SUMMER HILL",NSW,2130,08/10/2019,
